Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,450K,43,0.49,null,null,71.1,3,leukocyte,B-PROOF,,Placebo,Not reported,leukocyte
Initial,450K,43,0.7,31,83,66,null,kidney,,,,Not reported,kidney
Initial,450K,431,1,null,null,72.3,6.6,whole blood,,,Former smokers,European,whole blood
Initial,450K,432,0.4,null,null,79.1,0.6,whole blood,LBC1921,,,European,whole blood
Initial,450K,432,0.45,null,null,69.5,0.8,whole blood,,,Never smokers,European,whole blood
Initial,450K,432,0.74,null,null,68.6,10.6,tumor tissue and adjacent normal tissue,,,bladder carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,435,0.39,null,null,79.1,0.6,whole blood,LBC1921,Lothian Birth Cohort 1921,,European,whole blood
Initial,450K,436,0,40,70,null,null,whole blood,AMDTSS,Australian Mammographic Density Twins and Sisters Study,,European,whole blood
Initial,450K,436,0.4,null,null,79.1,0.6,whole blood,LBC1921,,,European,whole blood
Initial,450K,436,0.55,0,0,0,0,whole blood,NCL,Norway Facial Cleft Study,Control,European,whole blood
Initial,450K,437,0.48,null,null,61,16.1,whole blood,InCHIANTI,,,European,whole blood
Initial,450K,438,0.51,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,450K,44,0.16,null,null,31,8.4,CD4+ T cell,,,SLE Patients,African unspecified;European,CD4+ T cell
Initial,450K,44,0.43,null,null,70.8,2.9,leukocyte,B-PROOF,,Folic acid and vitamin B12 intervention,Not reported,leukocyte
Initial,450K,44,0.61,0,0,0,0,cord blood,,,Stopped smokers before pregnancy,East Asian,cord blood
Initial,450K,44,1,44,72,63,null,prostate,,,,Not reported,prostate
Initial,450K,44,null,null,null,null,null,cord blood,,,,Not reported,cord blood
Initial,450K,440,0,null,null,65.1,7,whole blood,,,bladder cancer,African American or Afro-Caribbean;Asian unspecified;European;Hispanic or Latin American;Not reported;Other,whole blood
Initial,450K,440,0,null,null,65.1,7,whole blood,,,Controls,African American or Afro-Caribbean;Asian unspecified;European;Hispanic or Latin American;Other,whole blood
Initial,450K,442,0.7,null,null,71,8,whole blood,FHS,,,European,whole blood
Initial,450K,443,0.47,null,null,61.7,16.2,leukocyte,InCHIANTI,,Baseline,European,leukocyte
Initial,450K,443,0.47,null,null,70.8,16.2,leukocyte,InCHIANTI,,Follow-up,European,leukocyte
Initial,450K,444,0.39,78,81,79.1,0.6,whole blood,LBC1921,Lothian Birth Cohort 1921,,European,whole blood
Initial,450K,444,0.52,8,8,8,0,whole blood,MeDALL,Mechanisms of the Development of ALLergy,,European,whole blood
Initial,450K,446,0.39,null,null,79,1,whole blood,LBC1921,Lothian Birth Cohort,,Not reported,whole blood
Initial,450K,449,0.64,null,null,54.7,8.8,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Former smokers baseline,Not reported,whole blood
Initial,450K,45,0,null,null,27.3,2.3,peripheral blood mononuclear cell,,,Control,African American or Afro-Caribbean,peripheral blood mononuclear cell
Initial,450K,45,0.64,0,0,0,0,artery,,,,Not reported,artery
Initial,450K,45,0.76,null,null,59,12,rectal cancer tissue,,,,Not reported,rectal cancer tissue
Initial,450K,450,0,26,73,52,9,leukocyte,EPIC,EuropeanProspective Investigation into Cancer and Nutrition (EPIC) study,,European,leukocyte
Initial,450K,453,0.81,2,5,null,null,whole blood,SEED,Study to Explore Early Development,ASD cases,African unspecified;Asian unspecified;European;Other,whole blood
Initial,450K,454,0.29,null,null,54.2,7.1,leukocyte,EPIC-Italy,European Prospective Investigation into Cancer and Nutrition,,European,leukocyte
Initial,450K,457,0.404,49.8,51.5,50.7,null,whole blood,,,T2D controls,Sub-Saharan African,whole blood
Initial,450K,458,0.4,0,0,0,0,cord blood,MoBa2,,,European,cord blood
Initial,450K,46,0.35,0,0,0,0,cord blood,,,Sustained smokers during pregnancy,East Asian,cord blood
Initial,450K,46,0.35,null,null,57.7,13.9,T-lymphocyte,,,treatment-naive patients with early rheumatoid arthritis,European,T-lymphocyte
Initial,450K,46,0.48,0,0,0,0,cord blood,,,Array cohort B Controls,European,cord blood
Initial,450K,46,0.52,0,0,0,0,cord blood,,,Controls,European;Not reported,cord blood
Initial,450K,46,null,null,null,null,null,uterine,,,normal,Not reported,uterine
Initial,450K,460,0.53,9,14,null,null,whole blood,STOPPA,,,European,whole blood
Initial,450K,463,0,null,null,64.6,11.2,tumor tissue and adjacent normal tissue,,,endometrial carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,463,0.65,null,null,61.4,8.7,buffy coat,,,Former smokers,European,buffy coat
Initial,450K,464,0.39,null,null,78,5.5,whole blood,MOBILZE,,,European,whole blood
Initial,450K,464,0.7,38,67,55.4,6.7,peripheral blood,CARDIOGENICS,,,European,peripheral blood
Initial,450K,464,null,null,null,null,null,tumor tissue,,,endometrial cancer,Not reported,tumor tissue
Initial,450K,47,0,null,null,46,8,lymphoblast,IAS,Iowa Adoptions Studies,mild (use of alcohol in between 1 and 8 weeks the past 6 months),European;Not reported,lymphoblast
Initial,450K,47,0.26,null,null,48.8,17.7,CD19+ B cell,,,Controls,European,CD19+ B cell
Initial,450K,47,0.45,null,null,85,16,whole blood,CRELES,Costa Rican Study on Longevity and Healthy Aging,Non-Nicoya,Hispanic or Latin American,whole blood
Initial,450K,47,0.49,38,89,65.1,10.3,colorectal tumour,,,Former smokers,Not reported,colorectal tumour
Initial,450K,47,0.596,null,null,61.54,7.71,dorsolateral prefrontal cortex,,,control,Not reported,dorsolateral prefrontal cortex
Initial,450K,47,0.64,null,null,45.9,14.2,whole blood,,,Control,African American or Afro-Caribbean;European,whole blood
Initial,450K,47,0.89,null,null,45.7,14.5,whole blood,,,Case,African American or Afro-Caribbean;European,whole blood
Initial,450K,472,0.53,25,74,51.9,13.8,whole blood,FINRISK,The National FINRISK Study,,European,whole blood
Initial,450K,474,0.36,null,null,47,14.3,leukocyte,MENA,Methyl Epigenome Network Association project,,European,leukocyte
Initial,450K,476,0.4,78,95,79,null,whole blood,LBC1921,Lothian Birth Cohort 1921,,Not reported,whole blood
Initial,450K,476,0.66,null,null,44.8,13.2,whole blood,,,,East Asian,whole blood
Initial,450K,479,0,null,null,56.4,7.9,blood spot,,,,Aboriginal Australian,blood spot
Initial,450K,479,0,null,null,56.4,7.9,whole blood,,,,Aboriginal Australian,whole blood
Initial,450K,479,0.64,null,null,61.9,11.8,tumor tissue and adjacent normal tissue,,,renal clear cell carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,48,0.25,null,null,null,null,peripheral blood mononuclear cell,,,healthy control,Not reported,peripheral blood mononuclear cell
Initial,450K,48,0.33,25,40,31.8,4.6,whole blood,EGCUT1,,,European,whole blood
Initial,450K,48,0.35,null,null,38.1,null,leukocyte,,,PD,Not reported,leukocyte
Initial,450K,48,0.35,null,null,38.2,null,leukocyte,,,control,Not reported,leukocyte
Initial,450K,48,0.43,null,null,83,14,whole blood,CRELES,Costa Rican Study on Longevity and Healthy Aging,Nicoya,Hispanic or Latin American,whole blood
Initial,450K,48,0.46,45.1,11.2,null,null,whole blood,,,,African American or Afro-Caribbean;European,whole blood
Initial,450K,48,0.48,3.5,76,15,null,peripheral blood mononuclear cell,,,,Not reported,peripheral blood mononuclear cell
Initial,450K,48,0.5,0,0,0,0,cord blood,,,ICSI,European;Not reported,cord blood
Initial,450K,48,0.56,0,0,0,0,neonatal blood,,,Psychiatric,Not reported,neonatal blood
Initial,450K,48,0.6,6,15,null,null,whole blood,,,,East Asian,whole blood
Initial,450K,48,0.604,null,null,61.71,7.66,hippocampus,,,control,Not reported,hippocampus
Initial,450K,48,0.75,12,74,37.94,14.24,skin,,,24 paired,South Asian,skin
Initial,450K,480,null,null,null,null,null,urological tumor tissue,,,,Not reported,urological tumor tissue
Initial,450K,481,0.485,null,null,49.9,12.8,CD4+ T cell,GOLDN,Genetics of Lipid Lowering Drugs and Diet Network,MetS-,European,CD4+ T cell
Initial,450K,482,0.52,0,0,0,0,leukocyte,,Project viva,,African unspecified;European;Other,leukocyte
Initial,450K,482,0.52,7.4,11.3,8.7,null,leukocyte,,482,,African unspecified;European;Other,leukocyte
Initial,450K,482,0.54,55,79,null,null,buffy coat,MADT,Middle Aged Danish Twins Study,,European,buffy coat
Initial,450K,484,0.52,null,null,53.2,9.6,whole blood,KORA F3,Cooperative Health Research in the Region of Augsburg,,European,whole blood
Initial,450K,485,0.15,null,null,52.3,12.4,leukocyte,EPIC-Italy,,EPICOR,European,leukocyte
Initial,450K,485,null,0,0,0,0,cord blood,,Project Viva,,African American or Afro-Caribbean;Asian unspecified;European;Hispanic or Latin American;Other,cord blood
Initial,450K,486,0.54,55,79,65.9,6.1,whole blood,MADT,Middle Aged Danish Twins Study,,European,whole blood
Initial,450K,489,0.47,null,null,65.5,10.2,tumor tissue and adjacent normal tissue,,,lung adenocarcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,49,0.1,null,null,55.6,14.4,CD19+ B cell,,,Cases,Not reported,CD19+ B cell
Initial,450K,49,0.49,34,82,63.7,11.8,colorectal mucosa,,,Never smokers,Not reported,colorectal mucosa
Initial,450K,49,0.53,0.9,1,0.9,null,whole blood,,,CPO,European;Not reported,whole blood
Initial,450K,49,0.592,null,null,61.62,7.61,entorhinal Cortex,,,control,Not reported,entorhinal Cortex
Initial,450K,49,0.61,0.3,0.4,0.3,null,whole blood,,,CLO,European;Not reported,whole blood
Initial,450K,49,0.84,0.4,0.5,0.5,null,whole blood,,, CLP,European;Not reported,whole blood
Initial,450K,490,0,null,null,null,null,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers,Not reported,whole blood
Initial,450K,491,0.47,null,null,47.4,20.9,whole blood,NSPHS,northern Sweden population health study,control,European,whole blood
Initial,450K,492,0,18.6,80.9,58,null,whole blood,TwinsUK,,,Not reported,whole blood
Initial,450K,498,0.45,null,null,62.8,15.8,whole blood,InCHIANTI,Invecchiare in Chianti Study,,European,whole blood
Initial,450K,499,0.45,null,null,63,16,whole blood,InCHIANTI,Invecchiare in Chianti,,European,whole blood
Initial,450K,5,0,42,70,null,null,synovial fibroblast,BEACON,Birmingham early arthritis cohort,Early RA,Not reported,synovial fibroblast
Initial,450K,5,0,null,null,null,null,endometrium,,,control,Not reported,endometrium
Initial,450K,5,0,null,null,null,null,endometrium,,,Endometriosis,Not reported,endometrium
Initial,450K,5,0.4,null,null,37.6,7.6,peripheral blood mononuclear cell,,,control,Not reported,peripheral blood mononuclear cell
Initial,450K,5,0.4,null,null,37.6,7.6,saliva,,,control,Not reported,saliva
Initial,450K,5,0.6,0,0,0,0,granulocyte,,,preterm (GA range 26– 30 weeks),Not reported,granulocyte
Initial,450K,5,0.6,0,0,0,0,monocyte,,,preterm (GA range 26– 30 weeks),Not reported,monocyte
Initial,450K,5,0.6,0,0,0,0,nucleated red blood cell,,,preterm (GA range 26– 30 weeks),Not reported,nucleated red blood cell
Initial,450K,5,0.6,0,0,0,0,T cell,,,preterm (GA range 26– 30 weeks),Not reported,T cell
Initial,450K,5,0.6,47,62,51,7.3,articular cartilage,,,Normal,East Asian,articular cartilage
Initial,450K,5,0.6,51,69,57.4,7.1,articular cartilage,,,KBD,East Asian,articular cartilage
Initial,450K,5,0.6,58,72,64.6,5.2,articular cartilage,,,OA,East Asian,articular cartilage
Initial,450K,5,0.6,null,null,37.6,7.6,peripheral blood mononuclear cell,,,RA,Not reported,peripheral blood mononuclear cell
Initial,450K,5,0.6,null,null,37.6,7.6,saliva,,,RA,Not reported,saliva
Initial,450K,5,0.8,0,0,0,0,granulocyte,,,term (GA 38 weeks),Not reported,granulocyte
Initial,450K,5,0.8,0,0,0,0,monocyte,,,term (GA 38 weeks),Not reported,monocyte
Initial,450K,5,0.8,0,0,0,0,nucleated red blood cell,,,term (GA 38 weeks),Not reported,nucleated red blood cell
Initial,450K,5,0.8,0,0,0,0,T cell,,,term (GA 38 weeks),Not reported,T cell
Initial,450K,5,0.8,null,null,13.6,0.1,whole blood,,,Obese sample,Not reported,whole blood
Initial,450K,5,1,22,31,null,null,whole blood,,,Ankylosing spondylitis,East Asian,whole blood
Initial,450K,5,1,23,27,25.4,null,sperm,GUTS,Growing Up Today Study,childhood abuse (Medium),European,sperm
Initial,450K,5,1,23,34,null,null,whole blood,,,Healthy controls,East Asian,whole blood
Initial,450K,5,1,35,49,40,5.6,sperm,,,control,Not reported,sperm
Initial,450K,5,1,null,null,63.2,2.5,periprostatic adipose tissue,,,obese/overweight,Not reported,periprostatic adipose tissue
Initial,450K,5,1,null,null,65.2,3.8,periprostatic adipose tissue,,,normal weight,Not reported,periprostatic adipose tissue
Initial,450K,5,1,null,null,null,null,sperm,,,control,Not reported,sperm
Initial,450K,5,null,0,0,0,0,placenta,,,1st Trimester control,Not reported,placenta
Initial,450K,5,null,0,0,0,0,placenta,,,1st Trimester T16,Not reported,placenta
Initial,450K,5,null,null,45,null,null,NR,,,early onset,Not reported,NR
Initial,450K,5,null,null,null,3,3.9,whole blood,,,patients with mutations in SMARCB1,Not reported,whole blood
Initial,450K,5,null,null,null,null,null,whole blood,,,Controls,Not reported,whole blood
Initial,450K,50,0,null,null,44,8,lymphoblast,IAS,Iowa Adoptions Studies,moderate users (use of alcohol in between 9 and 25 weeks in the past 6 months),European;Not reported,lymphoblast
Initial,450K,50,0,null,null,48.1,7,peripheral blood mononuclear cell,FACHS,Family and Community Health Study,Smoker,African American or Afro-Caribbean,peripheral blood mononuclear cell
Initial,450K,50,0.22,null,null,29.2,6.3,CD4+ T cell,,,SLE Controls,African unspecified;European,CD4+ T cell
Initial,450K,50,0.26,null,null,45.42,null,whole blood,,,Healthy Controls,European,whole blood
Initial,450K,50,0.26,null,null,45.48,null,whole blood,,,Dep-Inflam,European,whole blood
Initial,450K,50,0.26,null,null,45.58,null,whole blood,,,Inflammation,European,whole blood
Initial,450K,50,0.26,null,null,45.66,null,whole blood,,,Depression,European,whole blood
Initial,450K,50,0.52,null,null,58.9,58.9,whole blood,,,Current smokers,European,whole blood
Initial,450K,50,0.76,26,87,62,null,head and neck,,,,Not reported,head and neck
Initial,450K,50,1,null,null,8.9,0.1,leukocyte,,,,South Asian,leukocyte
Initial,450K,50,null,null,null,null,null,thyroid,,,nonneoplastic thyroid tissues,Not reported,thyroid
Initial,450K,500,0.49,50,75,null,null,whole blood,ESTHER,,,Not reported,whole blood
Initial,450K,500,0.52,null,null,53.1,9.6,whole blood,KORA F3,Cooperative Health Research in the Region of Augsburg,,Not reported,whole blood
Initial,450K,501,0.41,21,72,26.6,11,whole blood,FTC,Finnish Twin Cohort,,European,whole blood
Initial,450K,502,0.38,null,null,70,10,CD14+ monocyte,,,Never smokers,African American or Afro-Caribbean;European;Hispanic or Latin American,CD14+ monocyte
Initial,450K,502,0.48,null,null,58,7,whole blood,RS,Rotterdam Study,,European,whole blood
Initial,450K,507,0.49,0,0,0,0,cord blood,GOYA,,,European,cord blood
Initial,450K,508,0.55,35,92,70,null,whole blood,PEG1,Parkinson’s Environment and Genes study,289 PD,European,whole blood
Initial,450K,509,0.49,17,17,17,0,whole blood,Raine Study,,,European,whole blood
Initial,450K,51,0,null,null,59.8,11.3,ovarian,TCGA,The Cancer Genome Atlas,recurrence ≤12 months,Not reported,ovarian
Initial,450K,51,1,null,null,36.3,17.2,whole blood,,,,Greater Middle Eastern,whole blood
Initial,450K,512,0,null,null,54,8.6,buffy coat,,,Never smokers,European,buffy coat
Initial,450K,514,0.66,null,null,51.9,7.5,whole blood,EPICOR,European Prospective Investigation into Cancer and Nutrition,,European,whole blood
Initial,450K,515,0.53,2,5,null,null,whole blood,SEED,Study to Explore Early Development,healthy controls,African unspecified;Asian unspecified;European;Other,whole blood
Initial,450K,52,0.44,null,null,45.8,16.4,whole blood,NKI-RS,Nathan Kline Institute-Rockland Sample,alcohol use disorder,Not reported,whole blood
Initial,450K,52,0.48,null,null,66.8,8.4,buccal mucosa,COPDGene,,Former Smokers,African American or Afro-Caribbean;European,buccal mucosa
Initial,450K,52,0.64,0,0,0,0,umbilical vein endothelial cell,,,,Not reported,umbilical vein endothelial cell
Initial,450K,520,0,36.5,76.8,58.4,null,whole blood,HWFS,Dutch Hunger Winter Families Study,,European,whole blood
Initial,450K,523,0.64,null,null,61.5,8.9,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Former smokers follow-up,Not reported,whole blood
Initial,450K,524,0.49,15,17,null,null,whole blood,ALSPAC,,,European,whole blood
Initial,450K,528,0,18.6,80.9,57.9,null,whole blood,TwinsUK,,,Not reported,whole blood
Initial,450K,528,0,null,null,54,8.5,whole blood,EPIC,European Prospective Investigation into Cancer and Nutrition,Never-smokers,European,whole blood
Initial,450K,528,0.46,40,70,58.3,7.9,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,529,0.35,null,null,59.9,8.9,buffy coat,,,Never smokers,European,buffy coat
Initial,450K,53,0.53,0,0,0,0,placenta,RICHS,The Rhode Island Child Health Study,Night shift,Not reported,placenta
Initial,450K,53,0.55,0,1.5,0,null,buccal epithelium,,,,Not reported,buccal epithelium
Initial,450K,53,0.55,null,null,55,12,tissue from bronchial washings,,,Controls,Not reported,tissue from bronchial washings
Initial,450K,53,0.64,null,null,64.7,8.2,whole blood,,,Control,Not reported,whole blood
Initial,450K,53,0.66,null,null,69.1,8.9,whole blood,AEMS450K1,Athero-Express Biobank Study,Former smokers,Not reported,whole blood
Initial,450K,53,1,2,15,6.8,3.4,whole blood,,,ASD,Not reported,whole blood
Initial,450K,53,null,null,null,21.5,1.4,cord blood,IOW F2,,,European,cord blood
Initial,450K,53,null,null,null,21.5,1.4,cord blood ,IOW F2,,,European,cord blood 
Initial,450K,538,0,null,null,72.6,6.4,whole blood,NAS,Normative Aging Study,,European,whole blood
Initial,450K,54,0,null,null,54.17,8.31,adipose tissue,TwinsUK,,current smokers,European,adipose tissue
Initial,450K,54,0.43,null,null,11.3,3.7,nasal epithelial cell,ESS,Exposure Sibling Study,Nonasthmatics,African unspecified;Other admixed ancestry,nasal epithelial cell
Initial,450K,54,0.63,null,null,12,2.9,nasal epithelial cell,ESS,Exposure Sibling Study,Asthmatics,African unspecified;Other admixed ancestry,nasal epithelial cell
Initial,450K,54,0.7,null,null,44.7,12.3,leukocyte,,,schizophrenia suicide attempters,European,leukocyte
Initial,450K,54,null,null,null,null,null,tumor tissue,,,OSCC,Not reported,tumor tissue
Initial,450K,540,0.49,0,0,0,0,whole blood,PREDO,,,European,whole blood
Initial,450K,544,0.48,null,null,4848,15.8,CD4+ T cell,GOLDN,,,European,CD4+ T cell
Initial,450K,545,0.54,null,null,46.6,null,whole blood,,,,African unspecified;European;Other,whole blood
Initial,450K,545,null,null,null,29.5,4.1,cord blood,GOYA,,,European,cord blood
Initial,450K,545,null,null,null,29.5,4.1,cord blood ,GOYA,,,European,cord blood 
Initial,450K,547,0.42,49.7,51.3,50.5,null,whole blood,RODAM,Research on Obesity and Diabetes among African Migrants,,Sub-Saharan African,whole blood
Initial,450K,547,1,null,null,61.6,6.8,tumor tissue and adjacent normal tissue,,,prostate adenocarcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,55,0.13,null,null,15.7,0.7,whole blood,,,High-risk group,Not reported,whole blood
Initial,450K,55,0.35,18,18,18,0,buccal epithelium,,,,European,buccal epithelium
Initial,450K,550,0.48,null,null,58.7,6.6,leukocyte,LLS,Leiden Longevity Study ,,European,leukocyte
Initial,450K,550,null,null,null,null,null,whole blood,LBC1921,Lothian Birth Cohort 1921,,Not reported,whole blood
Initial,450K,554,0.48,16.5,16.5,16.5,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,Controls,Not reported,whole blood
Initial,450K,56,0.2,null,null,6.1,4,CD4+ T cell,,,Case,Not reported,CD4+ T cell
Initial,450K,56,1,null,null,19.3,12.2,peripheral blood,,,healthy control,Not reported,peripheral blood
Initial,450K,560,0.27,null,null,47.8,15.8,tumor tissue and adjacent normal tissue,,,thyroid carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,565,null,null,null,null,null,whole blood,,,control,Not reported,whole blood
Initial,450K,569,null,8,21,null,null,whole blood,GALA II,Genes-environments and Admixture in Latino Americans,,Hispanic or Latin American,whole blood
Initial,450K,57,0.25,null,null,6.4,4.2,CD4+ T cell,,,control,Not reported,CD4+ T cell
Initial,450K,57,null,null,null,49.4,2,peripheral blood mononuclear cell,,,SLE patients,African American or Afro-Caribbean;European,peripheral blood mononuclear cell
Initial,450K,573,0.5,8,22,13,null,leukocyte,GALA II,,,African American or Afro-Caribbean;European,leukocyte
Initial,450K,574,0.49,null,null,60.9,10.2,whole blood,REGICOR,REgistre GIroní del COR,,European,whole blood
Initial,450K,575,0.48,0,0,0,0,cord blood,ALSPAC,,,European,cord blood
Initial,450K,575,0.48,15,17,null,null,whole blood,ALSPAC,,,European,whole blood
Initial,450K,575,0.48,7,7,7,0,whole blood,ALSPAC,,,European,whole blood
Initial,450K,577,0.73,null,null,61.4,11.9,tumor tissue and adjacent normal tissue,,,head and neck squamous cell carcinoma,Not reported,tumor tissue and adjacent normal tissue
Initial,450K,579,null,0,0,0,0,cord blood,,Generation R Study,,Not reported,cord blood
Initial,450K,58,0.43,null,null,45.8,16.7,whole blood,NKI-RS,Nathan Kline Institute-Rockland Sample,healthy controls,Not reported,whole blood
Initial,450K,58,0.57,null,null,5.6,0.07,buffy coat,CHOP,,exposed,European,buffy coat
Initial,450K,58,0.59,null,null,45,13,airway epithelial cell,,,IL-13 treated,Not reported,airway epithelial cell
Initial,450K,58,0.59,null,null,45,13,airway epithelial cell,,,untreated,Not reported,airway epithelial cell
Initial,450K,580,0.56,null,null,69.1,11.4,whole blood,PEG,Parkinson's Environment and Genes Study,,European;Not reported,whole blood
Initial,450K,583,0.52,null,null,70.2,9.5,whole blood,RS,Rotterdam Study,,European,whole blood
Initial,450K,584,null,null,null,null,null,whole blood,SEED,Study to Explore Early Development,,African American or Afro-Caribbean;European;Other,whole blood
Initial,450K,587,0.54,33,94,69.3,null,tumor tissue,DACHS,,Non-metastatic CRC,Not reported,tumor tissue
Initial,450K,587,0.56,0,0,0,0,whole blood,MoBa2,,,European,whole blood
Initial,450K,59,0.75,0,0,0,0,placenta,ELGAN,Extremely Low for Gestational Age Newborns,Spontaneous EPTB,African American or Afro-Caribbean;European;Other,placenta
Initial,450K,591,0,27,76,null,null,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,595,0.5,26,80,49,null,whole blood,,,Subjects with airway obstruction,Not reported,whole blood
Initial,450K,597,0,null,null,56,9,whole blood,TwinsUK,,,European,whole blood
Initial,450K,6,0,null,null,34.8,2.9,endometrium,,,endometriosis‐free control,Not reported,endometrium
Initial,450K,6,0,null,null,36.2,7.1,endometrium,,,adjacent normal tissues,Not reported,endometrium
Initial,450K,6,0,null,null,36.2,7.1,endometrium,,,endometriotic lesions,Not reported,endometrium
Initial,450K,6,0.33,0,0,0,0,umbilical cord blood,,,healthy control,Not reported,umbilical cord blood
Initial,450K,6,0.5,42,55,48.7,4.7,gastric mucosa,,,successfully eradicated,East Asian,gastric mucosa
Initial,450K,6,0.5,42,55,48.7,4.7,leukocyte,,,successfully eradicated,East Asian,leukocyte
Initial,450K,6,0.66,0,0,0,0,umbilical cord blood,,,polycystic ovary syndrome,Not reported,umbilical cord blood
Initial,450K,6,0.67,45,58,null,null,adjacent normal tissue,,,adjacent normal tissue,East Asian,adjacent normal tissue
Initial,450K,6,0.67,45,58,null,null,tumor tissue,,,tumor tissue,East Asian,tumor tissue
Initial,450K,6,1,24,38,30,null,sperm,,,control,Not reported,sperm
Initial,450K,6,1,24,38,30,null,sperm,,,Control,Not reported,sperm
Initial,450K,6,1,28,32,30.16,null,sperm,,,oligozoospermic infertile patients,Not reported,sperm
Initial,450K,6,1,28,32,30.16,null,sperm,,,Patient,Not reported,sperm
Initial,450K,6,1,60,85,null,null,whole blood,,,LA,East Asian,whole blood
Initial,450K,6,1,null,null,30.5,1.7,whole blood,,,oligo/azoospermic infertile patients,Not reported,whole blood
Initial,450K,6,1,null,null,31,1.9,whole blood,,,normozoospermic fertile controls,Not reported,whole blood
Initial,450K,6,1,null,null,49.17,3.25,whole blood,,,Cases,Not reported,whole blood
Initial,450K,6,1,null,null,51.17,3.61,whole blood,,,Controls,Not reported,whole blood
Initial,450K,6,66.7,72,78,null,null,peripheral blood mononuclear cell,CLSA,Canadian Longitudinal Study on Aging,,Not reported,peripheral blood mononuclear cell
Initial,450K,6,null,null,null,null,null,adrenal gland,,,normal,Not reported,adrenal gland
Initial,450K,6,null,null,null,null,null,B lymphoblastoid cell,,,,Not reported,B lymphoblastoid cell
Initial,450K,6,null,null,null,null,null,bone marrow,,,dic(9;20)(p11–13; q11),Not reported,bone marrow
Initial,450K,6,null,null,null,null,null,bone marrow,,,TCF3-PBX1,Not reported,bone marrow
Initial,450K,60,0,23,31,27.17,null,whole blood,HUNT Study,,Lean,Not reported,whole blood
Initial,450K,60,0,23,31,27.17,null,whole blood,HUNT Study,,Obese,Not reported,whole blood
Initial,450K,60,0.28,null,null,48.9,7.9,liver,,,Nondiabetics,Not reported,liver
Initial,450K,60,0.7,null,null,6.6,6.3,prefrontal cortex,,,child control,European;Not reported,prefrontal cortex
Initial,450K,60,0.7,null,null,73.5,5.8,whole blood,COPD,,COPD cases,East Asian,whole blood
Initial,450K,60,1,null,null,49.2,8.2,whole blood,,,Past,European;Other,whole blood
Initial,450K,60,null,null,null,null,null,bronchi,,,Controls,Not reported,bronchi
Initial,450K,60,null,null,null,null,null,thyroid,,,papillary thyroid carcinoma,Not reported,thyroid
Initial,450K,600,1,40,70,58.2,7.7,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,608,0.42,null,null,68.6,5.6,leukocyte,RS,,,Not reported,leukocyte
Initial,450K,609,0,null,null,58.28,9.96,whole blood,TwinsUK,,,European,whole blood
Initial,450K,61,0,null,null,48.7,11,peripheral blood mononuclear cell,FACHS,Family and Community Health Study,non-smoker,African American or Afro-Caribbean,peripheral blood mononuclear cell
Initial,450K,61,0.25,null,null,null,null,peripheral blood mononuclear cell,,,ME/CFS diagnosed patients,Not reported,peripheral blood mononuclear cell
Initial,450K,611,0.45,null,null,31,0.3,whole blood,NFBC1966,,time point 1,European,whole blood
Initial,450K,612,0,null,null,12.7,1.5,whole blood,NIEHS,National Institute of Environmenal Health Sciences,Noncase subjects,European,whole blood
Initial,450K,614,0.35,null,null,62.2,9,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers follow-up,Not reported,whole blood
Initial,450K,615,0.35,null,null,55.1,9,whole blood,KORA F4,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers baseline,Not reported,whole blood
Initial,450K,619,0.48,null,null,59.22,6.5,whole blood,LLS,,,European,whole blood
Initial,450K,62,0.47,null,null,69.5,0.7,whole blood,LBC1936,,Frail,Not reported,whole blood
Initial,450K,62,1,1,1,1,1,cord blood,,,,South Asian,cord blood
Initial,450K,62,1,null,null,39,7.3,whole blood,DILGOM,"DIetary, Lifestyle, and Genetic determinants of Obesity and Metabolic syndrome study",sufcient sleep,Not reported,whole blood
Initial,450K,62,1,null,null,null,null,cord blood,,,,Not reported,cord blood
Initial,450K,623,1,null,null,72,7,whole blood,NAS,Normative Aging Study,,European,whole blood
Initial,450K,624,null,0,0,0,0,cord blood,MoBa2,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
